Base,Unique_ID,Cat,latitude_new,longitude_new,Place,Domain
Lee on Solent,Lee 7180171,Pre-arranged Transfer,50.712041,-1.3016946,IOW St Marys to Southampton,Aero
Sumburgh,Sumb7181171,Pre-arranged Transfer,59.254395,-2.5470855,"Sanday, Orkney",Land
Humberside,Humb7188171,Search only,54.472066,-0.61891283,"Whitby, North Yorkshire",Land
Humberside,Humb7189171,Rescue/Recovery,54.595,0.431666666666667,"ENSCO 101, 40NM NE of Flamborough Head",Maritime
St Athan,St A7190171,Search only,51.811757,-3.8567121,"Brynamman, South Wales",Land
Sumburgh,Sumb7206171,Rescue/Recovery,59.367065,-2.4363027,North Ronaldsay,Land
Lee on Solent,Lee 7216171,Rescue/Recovery,50.4916666666667,-0.43,"Diving vessel CHANNEL DIVER, 35NM SE of Lee-on-Solent",Maritime
Prestwick,Pres7221171,Rescue/Recovery,56.235687,-4.8702732,Beinn an Lochain,Land
Newquay,Newq7222171,Rescue/Recovery,50.100836,-5.4175696,Rosudeon,Coastal
Lydd,Lydd7233171,Search only,51.075085,1.1963064,Folkestone,Maritime
Caernarfon,Caer7253171,Rescue/Recovery,53.067777,-4.0774737,Snowdon,Land
Lee on Solent,Lee 7262171,Rescue/Recovery,50.626493,-2.3081466,"West Bottom, Dorset",Coastal
Inverness,Inve7263171,Support,57.480292,-4.3616475,Beauly Firth,Coastal
Lee on Solent,Lee 7327171,Pre-arranged Transfer,50.710226,-1.298889,IOW St Marys to Southampton,Land
Sumburgh,Sumb7330171,Rescue/Recovery,59.250456,-2.6241682,"Sanday, Orkney",Land
Inverness,InveNA171,Rescue/Recovery,56.235687,-4.8702732,Beinn an Lochain,Land
Lydd,Lydd7342171,Pre-arranged Transfer,49.3525,-2.32533333333333,Jersey to Addenbrookes Hospital,Land
Lee on Solent,Lee 7354171,Pre-arranged Transfer,50.711134,-1.3002917,Newport IOW,Land
Humberside,Humb7362171,Support,54.235332,-0.44270768,Seamer,Land
Inverness,Inve7365171,Rescue/Recovery,57.137513,-3.6588847,Cairngorm Ski Centre,Land
Caernarfon,Caer7377171,Rescue/Recovery,53.072398,-4.0702322,"Pyg Track, Snowdon",Land
Caernarfon,Caer7382171,Rescue/Recovery,53.020986,-4.0796972,Dinas Emrys,Land
Prestwick,Pres7410171,Search only,55.243419,-4.8643807,Girvan,Coastal
Sumburgh,Sumb7416171,Rescue/Recovery,59.248879,-2.576802,"Sanday, Orkney",Land
Newquay,Newq7442171,Pre-arranged Transfer,49.913343,-6.2932337,St Marys IOS,Land
St Athan,St A7460171,Rescue/Recovery,51.22967,-3.9291465,Heddons Mouth Beach,Coastal
Prestwick,Pres7474171,Search only,56.230154,-4.876314,BeinnAn Lochain,Land
Prestwick,Pres7483171,Pre-arranged Transfer,56.517254,-5.9144484,"Glenforsa, Scotland",Land
Newquay,Newq7485171,Pre-arranged Transfer,49.912446,-6.2931539,IoS,Land
Newquay,Newq7511171,Pre-arranged Transfer,49.913343,-6.2932337,St Marys IOS to Truro Treliske,Land
Prestwick,Pres7519171,Support,55.938184,-4.9074732,Gourock,Maritime
Newquay,Newq7524171,Pre-arranged Transfer,50.264682,-5.0587897,Treliske to Bristol Childrens Hospital,Land
Sumburgh,Sumb7547171,Rescue/Recovery,59.57,1.6785,"Maersk Gallant rig, 92nm ESE Sumburgh",Maritime
Caernarfon,Caer7574171,Support,53.011309,-4.0151321,Foel Boethwel,Land
Lee on Solent,Lee 7595171,Support,51.4861666666667,-0.8035,15nm East of Heathrow - Diverting Heathrow,Aero
Sumburgh,Sumb7603171,Search only,60.353108,-1.2008459,Shetland,Land
Caernarfon,Caer7608171,Rescue/Recovery,52.848703,-4.4828425,Llanbedrog,Coastal
Caernarfon,Caer7613171,Rescue/Recovery,53.001038,-4.1398424,Moel Hebog,Land
Sumburgh,Sumb7624171,Rescue/Recovery,59.349956,-2.9513128,Westray,Land
Sumburgh,Sumb7603171,Search only,60.353984,-1.1972,Shetland,Land
Caernarfon,Caer7642171,Support,52.363585,-3.4949692,Pant-Y-Dwr,Land
Sumburgh,Sumb7663171,Rescue/Recovery,59.7433333333333,1.67166666666667,"BRUCE Offshore Platform, 90 NM E SUMBURGH. ",Maritime
Lydd,Lydd7673171,Support,50.746626,0.18999653,Birling Gap,Coastal
Inverness,Inve7690171,Rescue/Recovery,56.800718,-5.0362097,Ben Nevis ,Land
Prestwick,Pres7699171,Rescue/Recovery,54.539303,-3.3152798,"Scale Force Waterfall, Lake District. ",Land
Caernarfon,CaerNA171,Search only,52.839442,-4.4956782,Abersoch,Coastal
Sumburgh,Sumb7743171,Rescue/Recovery,60.805,1.45,Ninian Southern platform,Maritime
Lee on Solent,Lee 7752171,Pre-arranged Transfer,50.697603,-1.2934134,Newport St. Mary's Hospital IOW > Southampton General Hospital. ,Land
Humberside,Humb7793171,Rescue/Recovery,53.383375,-1.8691659,Peak District,Land
St Athan,St A7804171,Rescue/Recovery,51.397273,-3.5423076,"Monknash, Wales",Coastal
Prestwick,Pres7806171,Rescue/Recovery,56.312653,-6.409623,Isle of Iona,Coastal
Lee on Solent,Lee 7820171,Pre-arranged Transfer,49.913343,-6.2932337,St Marys Iow to SOU Gen Hosp,Land
Lee on Solent,Lee 7843171,Search only,50.8248333333333,-0.258833333333333,Shoreham,Land
Lee on Solent,Lee 7854171,Pre-arranged Transfer,50.711125,-1.2988755,St Marys Iow to SOU Gen Hosp,Land
Sumburgh,Sumb7867171,Rescue/Recovery,58.9855,-2.9525,"WESTRAY, ORKNEY > KIRKWALL, ORKNEY. ",Land
Humberside,Humb7871171,Rescue/Recovery,53.8776666666667,1.89766666666667,PIPELAYING CRANE VESSEL 7000 - 70NM E SPURN POINT ,Maritime
Lee on Solent,Lee 7902171,Rescue/Recovery,50.591828,-1.9872328,"Dancing Ledge, Dorset",Coastal
